DEP;PC1;PC2;PC3;PC4;PC5;PC6;PC7
0;-0.68164;-0.562;-0.91016;-0.2433;0.06696;-0.21397;0.20677
0;1.39761;-0.23604;0.10391;-0.19313;-0.26635;-0.51574;-0.31423
0;0.94658;-0.36618;0.06248;-0.62322;-0.23443;-0.59364;-0.15652
0;0.05404;-0.50657;0.31193;-0.64821;0.06354;-0.6202;-0.25953
0;0.98758;-0.20002;0.19874;-0.47063;0.25465;-0.61172;-0.49234
0;-1.3682;-0.56512;-0.55805;0.05411;0.14255;0.10767;0.31588
0;-2.51105;-0.70945;-0.55792;-0.53753;-0.02872;-0.16093;0.32605
0;-1.96313;-0.75119;-0.86763;-0.22872;0.40126;0.05895;0.17518
0;-2.05004;-0.80162;-0.24178;-0.31435;-0.0658;-0.20688;0.3061
0;-1.66034;-0.78;0.5269;-0.7725;-0.16438;-0.58077;0.14883
0;-1.45843;-0.82253;0.42306;-0.64005;-0.22003;-0.421;0.28252
0;-1.21491;-0.76171;0.58531;-0.65118;-0.39082;-0.16227;0.35422
0;-0.77715;-1.03938;0.23612;-0.40264;-0.29632;-0.12405;0.40595
0;0.8164;-0.50401;0.2314;0.48442;0.18601;0.55712;0.22759
0;1.38851;-0.53114;0.90038;0.03855;-0.38973;0.14272;-0.28525
0;1.11026;-0.506;0.91521;0.11774;-0.22404;0.15127;-0.30156
0;0.78305;-0.51335;0.11309;0.43997;0.17387;0.56023;0.09234
0;1.75781;-0.76325;-1.20838;-0.13219;-0.0212;0.11034;-0.35979
0;2.17207;-0.67247;-1.22359;-0.18445;-0.14459;0.41183;-0.44431
0;2.71359;-0.73096;-1.04862;-0.16366;-0.23017;0.53869;-0.47938
0;2.00692;-0.58024;-1.01528;0.04503;-0.00586;0.15698;-0.24146
0;0.55838;0.08775;-0.21346;1.37748;0.79679;-1.11722;0.48356
0;-0.01161;-0.23083;-0.0619;1.24274;0.72786;-0.8075;0.31148
0;0.08621;-0.32115;-0.24648;1.49306;0.51151;-1.00199;0.40573
0;1.38885;0.21247;-0.46025;2.06378;0.81618;-1.50839;0.66266
0;-2.04374;-0.97131;-0.65787;-1.67974;-0.25196;-0.60202;0.64208
0;-2.10056;-0.85006;-0.75977;-1.23452;0.05913;-0.43475;0.43616
0;-2.44944;-0.81928;-0.67145;-0.8772;0.21796;-0.62354;0.22515
0;-2.3359;-0.87218;-0.68451;-1.09886;-0.0596;-0.56876;0.27803
0;0.09923;-0.28741;-0.48626;-1.33551;0.22509;0.2855;0.75886
0;-0.22925;-0.34875;-0.10681;-1.29399;0.07178;0.15178;0.71195
0;-0.59401;-0.44696;0.21447;-1.16858;0.00723;-0.14806;0.61912
0;0.24134;-0.23757;-0.87012;-1.16094;0.04972;0.21894;0.78551
0;0.8348;1.12576;-1.10138;0.25508;-0.05599;1.05604;0.18008
0;-0.13467;-0.03121;-0.54713;0.56771;-0.20869;0.9192;-0.44446
0;1.02798;1.94258;1.55847;0.0793;-0.13956;1.15833;-0.41006
0;0.58488;-0.10788;-0.12099;0.45107;0.05528;0.94986;-0.00588
0;0.43035;0.01716;0.08791;0.37212;0.03771;0.93586;0.09859
0;-0.0708;-0.65952;-0.47627;0.03746;-0.13766;1.0393;-0.40641
0;0.02557;0.04403;-0.55724;0.47718;0.02939;1.05999;-0.058
0;-0.34102;-0.67619;-0.26157;0.05877;-0.13862;1.06324;-0.33337
0;-0.39655;3.97731;-0.77515;-0.12236;-1.00169;-0.20676;0.34947
0;-0.3744;2.05999;-0.7087;0.39781;-0.37667;-0.1566;0.31995
0;-0.23612;1.3944;-0.50877;-0.54046;0.95262;0.09225;0.21157
0;-0.4213;3.23737;-0.66193;-0.57571;-1.00147;-0.06543;0.3562
0;-0.5704;-0.60039;-0.3811;1.25006;0.0866;-0.10266;-0.10962
0;-0.74461;-0.18996;-0.3194;0.88013;0.55979;-0.0833;-0.07579
0;-0.52934;-0.43623;-0.44397;1.03543;0.60342;-0.04735;-0.0433
