PC7,PC6,PC5,PC4,PC3,PC2,PC1
-0.57202,0.24050,-0.12634,0.48127,2.04094,-0.54049,2.33427
0.31494,0.11029,0.03230,0.46202,1.36948,-0.39856,2.22655
-0.57819,0.13137,-0.25158,-0.77840,-1.68311,-0.67848,2.19990
-0.25494,-0.29767,-0.23812,-0.81349,-0.24066,-0.58181,1.98185
0.18594,-0.22643,0.78049,-0.00331,-0.57087,0.03772,-0.65206
0.38227,-0.15211,-0.06841,-0.54063,-0.93260,-0.12733,1.23385
-0.68939,-0.89081,0.23510,-1.06014,-0.85988,-0.07203,1.46733
0.11649,-0.38340,0.15389,0.55017,-0.58241,-0.45050,-1.18967
-0.75612,-0.41900,-0.67806,-0.65859,0.74908,-0.25720,1.02442
-0.05146,-1.29712,-0.24365,0.66257,-0.19513,-0.81351,-0.44288
-0.39748,-0.16494,-0.05988,-0.15062,-0.74581,-0.52458,1.09683
-0.45954,0.69548,0.88294,-0.40694,0.47368,2.16593,-0.77297
-0.35509,-0.70637,0.06576,-0.56658,-0.22568,-0.64715,-1.54505
-0.31864,0.20813,0.18782,-0.21729,0.40887,-0.06921,-1.83990
-0.22319,-0.61774,0.08419,-0.97228,-1.13860,0.59742,-1.00206
0.05816,0.21114,-0.45883,-1.24701,1.76900,-1.10581,-1.87180
-0.41601,0.80778,-0.58798,-0.89905,0.94908,-0.66307,-1.26769
-1.08814,-1.31007,0.09977,-0.20391,-0.32212,0.29616,-0.15217
0.09748,-0.53678,-0.24116,-0.47803,-0.06774,-0.50303,4.04717
0.15108,-0.79844,-1.19288,-0.13053,1.22478,0.46913,0.12232
-0.80834,-0.26348,0.44205,-0.11447,0.26992,-0.49286,-2.04980
-0.20094,-0.02870,-0.00471,-0.24952,-0.40008,0.17817,-0.58111
-0.75233,0.91188,-1.03641,-0.86546,0.32720,-0.06115,3.72059
0.45995,0.38861,0.47885,-0.84582,-0.30420,0.18230,-0.87965
-0.74284,-0.50252,-0.17178,-0.35516,-0.34058,-0.88266,1.39106
0.30468,0.57381,-0.02850,-0.21739,-0.04991,-0.78912,-1.42022
-0.22528,0.23747,1.47918,-0.10420,0.02937,3.17431,-1.18910
-0.21094,-0.41605,-0.25618,0.45794,-0.18308,-0.65193,0.37744
-0.37714,0.28710,-0.40366,2.39347,-1.05119,-0.21304,-1.13666
-0.18303,0.92132,0.59751,1.18253,0.39951,0.32403,1.27803
