ETIQUETA;N;E;PC9;PC8;PC7;PC6;PC5;PC4;PC3;PC2;PC1
0;885506.4973;159463.172;-0.37176;0.10661;0.35841;-0.00641;-0.27605;0.51602;0.76014;-0.87538;0.46381
0;960414.0417;281837.2806;0.02455;0.00099;-0.15027;0.88059;0.45871;-0.75589;-0.52844;-0.43561;0.97741
0;962592.6352;262457.122;0.64755;0.12272;-0.07019;0.66327;-0.24751;-1.71808;-0.08699;-0.84611;0.55588
0;959188.1726;171563.8638;0.21358;0.12318;0.84717;0.00065;-0.28927;0.03713;-0.84181;0.23658;-0.05562
0;868246.2022;229123.4188;0.31994;0.37042;0.28668;0.65992;0.00757;-0.48303;-1.12397;0.84274;-0.46535
0;863638.9098;229365.2434;0.619;-0.08399;0.05348;0.31332;0.30135;-0.4301;-1.05247;-0.31048;-1.20234
0;925198.6421;297714.1298;0.21053;0.86206;0.39262;0.24505;-0.61498;0.63728;0.49292;-0.84232;-0.4872
0;944800.4451;205841.9721;-0.32392;0.10333;0.51128;0.66702;-0.64766;0.02425;-0.82366;0.5311;-0.76901
0;963147.2754;174642.8934;0.18498;-0.20348;0.32824;0.20295;-0.45785;0.29601;-0.83824;0.63765;-0.17145
0;901117.6192;288706.7796;0.23882;0.91967;0.48764;-0.12047;-0.9604;0.53381;-0.90715;-0.43915;-1.27898
0;949704.021;270381.3791;0.50076;-0.11594;-0.36195;1.02216;0.15586;-0.64952;-0.35352;-1.00726;-1.68377
0;928489.0904;207995.5942;-0.08583;0.26089;-0.33706;0.32808;-0.23262;0.48715;-0.91223;-0.30501;2.65464
0;944682.8885;275752.3109;0.09661;-0.07715;-0.46141;1.51374;-0.60654;0.51025;-0.49161;-0.90934;-2.12897
0;948683.1347;283643.6937;0.19479;-0.01747;-0.35989;1.3713;0.10263;-0.33144;-0.92727;-0.44256;-1.39862
1;906955.8827;208765.674;0.32384;-0.32667;-0.11871;0.56346;-1.91407;-0.47496;-0.38106;-0.03838;3.12599
1;880838.1964;266713.1911;-0.95544;-0.62817;-0.66739;-0.40296;-0.04785;-1.33919;-0.9011;-0.11519;-2.11969
1;907328.1288;232455.5436;0.21742;-0.36939;0.44515;-0.73576;-0.7388;0.01877;-1.41291;0.03238;0.56129
1;957298.8547;271715.4086;0.50605;0.29112;0.01489;0.77963;-0.4136;-1.33771;-1.07891;-0.42767;-0.60459
1;893625.7083;189333.2346;-0.62074;0.3767;-0.24038;0.29113;0.64488;-0.09969;-0.82794;-0.36336;1.58554
1;905602.4746;204770.9124;0.71591;-0.39732;0.30261;-0.14317;-1.16406;-0.29624;-0.19613;-0.33596;3.04549
1;845953.1573;161829.6138;-0.14518;-0.332;0.51274;0.36721;-1.90555;0.71042;0.41483;-0.5417;0.44775
1;866564.2414;238269.1101;-0.49137;0.55488;0.12153;0.59407;0.10694;-0.88202;-0.52941;-0.25781;-1.88725
1;866271.9617;238544.1201;-0.67953;0.67252;-0.08663;0.60828;0.42382;-0.97019;-0.45664;-0.22641;-1.90275
1;881986.4635;267752.1071;-1.07875;-0.77158;-0.66051;-0.1819;-0.51032;-1.47203;-0.9061;-0.63279;-3.0474
1;923413.949;170759.701;-0.04609;0.37979;0.37608;-0.06323;0.20347;0.71565;-0.59566;0.30072;1.7385
1;925535.1481;238886.9682;-0.09775;0.14741;0.72727;-0.34803;-0.07494;0.15867;-1.25205;0.33641;-0.95867
1;869467.2302;271035.8017;0.08139;-1.13836;-0.34755;-0.55396;0.85449;-0.8508;-1.2043;0.88982;-2.94871
1;874396.4288;251345.0496;-0.79323;0.53532;-1.2528;-0.03741;-1.12395;-0.99631;-1.04408;1.37388;-0.88211
1;898074.682;265029.0843;-0.10336;0.12605;0.43795;-0.21728;-0.18174;1.6081;0.15607;0.12185;-0.94079
